Nivel,Tipo de Curso,Plan,Cód.,Descripción,Tray.,Año,Mód.,Sem.,Grupo,Turno,Cód.,Descripción,Ruee Calculado,Rule calculado
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,141,CAPILAR, , 1,0, ,SD,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,141,CAPILAR, , 2,0, ,SD,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,344,ELECTROTECNIA, , 1,0, ,SE,VESPERTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,492,INSTALACIONES ELECTRICAS, , 2,0, ,SE,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,567,MASAJE, , 1,0, ,SH,VESPERTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,567,MASAJE, , 2,0, ,SH,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,572,MECANICA GENERAL, , 1,0, ,SF,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,576,MECANICA AUTOMOTRIZ, , 1,0, ,SK,VESPERTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,576,MECANICA AUTOMOTRIZ, , 2,0, ,SK,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,618,MECANICA EN PRODUCCION, , 2,0, ,SF,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,798,REPARACION DE P. C., , 1,0, ,SJ,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,798,REPARACION DE P. C., , 2,0, ,SJ,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,008,ADMINISTRACION, , 1,0, ,BA,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,008,ADMINISTRACION, , 1,0, ,BB,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,008,ADMINISTRACION, , 2,0, ,BA,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA TECNOLOGICA,2004,008,ADMINISTRACION, , 2,0, ,BB,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302021,4020092
