CARRERA,DURACIÓN,PLAN DE ESTUDIOS VIGENTE,SERVICIO UNIVERSITARIO,SERVICIO UNIVERSITARIO DE REFERENCIA,ENLACE A INFORMACIÓN INSTITUCIONAL,Nivel,Titulación
ASISTENTE EN ODONTOLOGIA,2 AÑOS,2017,MONTEVIDEO_FACULTAD DE ODONTOLOGÍA,,https://odon.edu.uy/sitios/bedelia/asistente-en-odontologia/,Grado,Asistente en Odontología
HIGIENISTA EN ODONTOLOGIA,2 AÑOS,2017,MONTEVIDEO_FACULTAD DE ODONTOLOGÍA,,https://odon.edu.uy/sitios/bedelia/malla-curricular-programas-higienista-en-odontologia-plan-2017/,Grado,Tecnólogo/a
LABORATORISTA EN ODONTOLOGIA,3 AÑOS,2017,MONTEVIDEO_FACULTAD DE ODONTOLOGÍA,,https://odon.edu.uy/sitios/bedelia/malla-curricular-laboratorista-en-odontologia-plan-2017/,Grado,Laboratorista en Odontología
ODONTOLOGIA,5 AÑOS Y MEDIO,2011,MONTEVIDEO_FACULTAD DE ODONTOLOGÍA,,https://odon.edu.uy/sitios/bedelia/malla-curricular-2/,Grado,Doctor/a
LICENCIATURA EN PSICOLOGIA,4 AÑOS,2013,MONTEVIDEO_FACULTAD DE PSICOLOGÍA,,https://psico.edu.uy/ensenanza/grado/licenciatura/plan,Grado,Licenciado/a
LICENCIATURA EN BIOLOGÍA HUMANA,4 AÑOS,,MONTEVIDEO_FACULTAD DE MEDICINA,,http://www.lbh.fmed.edu.uy/como-es-su-plan-de-estudios.html,Grado,Licenciado/a
LICENCIATURA EN BIOLOGÍA HUMANA,4 AÑOS,,MONTEVIDEO_FACULTAD DE ODONTOLOGÍA,,http://www.lbh.fmed.edu.uy/,Grado,Licenciado/a
LICENCIATURA DANZA CONTEMPORÁNEA,4 AÑOS,2018,MONTEVIDEO_FACULTAD DE ARTES,,https://www.artes.udelar.edu.uy/carrera/licenciatura-en-danza-contemporanea/,Grado,Licenciado/a
LICENCIATURA EN ARTES PLÁSTICAS Y VISUALES,6 AÑOS,2002,MONTEVIDEO_FACULTAD DE ARTES,,https://www.artes.udelar.edu.uy/carrera/licenciatura-en-artes-plasticas-y-visuales/,Grado,Licenciado/a
LICENCIATURA EN ARTES CERÁMICA,6 AÑOS,2006,MONTEVIDEO_FACULTAD DE ARTES,,https://www.artes.udelar.edu.uy/carrera/licenciatura-en-ceramica/,Grado,Licenciado/a
LICENCIATURA EN ARTES DIBUJO Y PINTURA,6 AÑOS,2006,MONTEVIDEO_FACULTAD DE ARTES,,https://www.artes.udelar.edu.uy/carrera/licenciatura-en-dibujo-y-pintura/,Grado,Licenciado/a
LICENCIATURA EN ARTES DISEÑO GRÁFICO,6 AÑOS,2006,MONTEVIDEO_FACULTAD DE ARTES,,https://www.artes.udelar.edu.uy/carrera/licenciatura-en-diseno-grafico/,Grado,Licenciado/a
LICENCIATURA EN ARTE DIGITAL Y ELECTRONICO,6 AÑOS,2013,MONTEVIDEO_FACULTAD DE ARTES,,https://www.artes.udelar.edu.uy/carrera/licenciatura-en-arte-digital-y-electronico/,Grado,Licenciado/a
CICLO DE INTRODUCCION A LA MUSICA,3 AÑOS,1987,MONTEVIDEO_FACULTAD DE ARTES,,https://www.artes.udelar.edu.uy/carrera/ciclo-de-introduccion-a-la-musica-cim/,Pregrado,
LICENCIATURA EN INTERPRETACION MUSICAL,4 AÑOS,2005,MONTEVIDEO_FACULTAD DE ARTES,,https://www.artes.udelar.edu.uy/carrera/licenciaturas-instituto-de-musica/,Grado,Licenciado/a
LICENCIATURA EN MUSICA,4 AÑOS,2005,MONTEVIDEO_FACULTAD DE ARTES,,https://www.artes.udelar.edu.uy/carrera/licenciaturas-instituto-de-musica/,Grado,Licenciado/a
CONTADOR PUBLICO,4 AÑOS,2024,MONTEVIDEO_FACULTAD DE CIENCIAS ECONÓMICAS Y DE ADMINISTRACIÓN,,https://fcea.udelar.edu.uy/ensenanza/las-carreras-de-fcea/7538-contador-publico-2024.html,Grado,Contador/a Público/a
LICENCIATURA EN ADMINISTRACION,4 AÑOS,2012,MONTEVIDEO_FACULTAD DE CIENCIAS ECONÓMICAS Y DE ADMINISTRACIÓN,,https://fcea.udelar.edu.uy/depto-adm-ensenanza/lic-adm-ciencias-adm.html,Grado,Licenciado/a
LICENCIATURA EN ECONOMIA,4 AÑOS,2012,MONTEVIDEO_FACULTAD DE CIENCIAS ECONÓMICAS Y DE ADMINISTRACIÓN,,https://fcea.udelar.edu.uy/ensenanza-dpto-economia/licenciatura-en-economia.html,Grado,Licenciado/a
LICENCIATURA EN ESTADISTICA,4 AÑOS,2014,MONTEVIDEO_FACULTAD DE CIENCIAS ECONÓMICAS Y DE ADMINISTRACIÓN,,https://fcea.udelar.edu.uy/depto-met-cuant-ensenanza/licenciatura-en-estadistica.html,Grado,Licenciado/a
TÉCNICO EN ADMINISTRACIÓN,2 AÑOS Y MEDIO,2014,MONTEVIDEO_FACULTAD DE CIENCIAS ECONÓMICAS Y DE ADMINISTRACIÓN,,https://fcea.udelar.edu.uy/depto-adm-ensenanza/tecnicatura-admin-ciencias-adm.html,Grado,Técnico/a
TECNÓLOGO EN GESTIÓN UNIVERSITARIA,2 AÑOS Y MEDIO,2018,MONTEVIDEO_FACULTAD DE CIENCIAS ECONÓMICAS Y DE ADMINISTRACIÓN,,https://fcea.udelar.edu.uy/ensenanza/las-carreras-de-fcea/243-tecnico-en-gestion-universitaria.html,Grado,Tecnólogo/a
ABOGACIA,5 AÑOS,2016,MONTEVIDEO_FACULTAD DE DERECHO,,https://www.fder.edu.uy/abogacia,Grado,Abogado/a
NOTARIADO,5 AÑOS,2016,MONTEVIDEO_FACULTAD DE DERECHO,,https://www.fder.edu.uy/node/5153,Grado,Escribano/a Público/a
LICENCIATURA EN RELACIONES INTERNACIONALES,4 AÑOS,2013,MONTEVIDEO_FACULTAD DE DERECHO,,https://www.fder.edu.uy/rrii,Grado,Licenciado/a
LICENCIATURA EN RELACIONES LABORALES,4 AÑOS,2012,MONTEVIDEO_FACULTAD DE DERECHO,,https://www.fder.edu.uy/rrll,Grado,Licenciado/a
LICENCIATURA EN TRADUCCION PUBLICA ALEMAN,4 AÑOS,2022,MONTEVIDEO_FACULTAD DE DERECHO,,https://www.fder.edu.uy/traductorado,Grado,Licenciado/a
LICENCIATURA EN TRADUCCION PUBLICA FRANCES,4 AÑOS,2022,MONTEVIDEO_FACULTAD DE DERECHO,,https://www.fder.edu.uy/traductorado,Grado,Licenciado/a
LICENCIATURA EN TRADUCCION PUBLICA INGLES,4 AÑOS,2022,MONTEVIDEO_FACULTAD DE DERECHO,,https://www.fder.edu.uy/traductorado,Grado,Licenciado/a
LICENCIATURA EN TRADUCCION PUBLICA ITALIANO,4 AÑOS,2022,MONTEVIDEO_FACULTAD DE DERECHO,,https://www.fder.edu.uy/traductorado,Grado,Licenciado/a
LICENCIATURA EN TRADUCCION PUBLICA PORTUGUÉS,4 AÑOS,2022,MONTEVIDEO_FACULTAD DE DERECHO,,https://www.fder.edu.uy/traductorado,Grado,Licenciado/a
LICENCIATURA EN CIENCIAS ANTROPOLOGICAS,4 AÑOS,2014,MONTEVIDEO_FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN,,https://fhce.edu.uy/licenciatura-en-ciencias-antropologicas/,Grado,Licenciado/a
LICENCIATURA EN EDUCACION,4 AÑOS,2014,MONTEVIDEO_FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN,,https://fhce.edu.uy/licenciatura-en-educacion/,Grado,Licenciado/a
LICENCIATURA EN FILOSOFIA,4 AÑOS,2010,MONTEVIDEO_FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN,,https://fhce.edu.uy/licenciatura-en-filosofia/,Grado,Licenciado/a
LICENCIATURA EN HISTORIA,4 AÑOS,2014,MONTEVIDEO_FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN,,https://fhce.edu.uy/licenciatura-en-historia/,Grado,Licenciado/a
LICENCIATURA EN LETRAS,4 AÑOS,2014,MONTEVIDEO_FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN,,https://fhce.edu.uy/licenciatura-en-letras/,Grado,Licenciado/a
LINGUISTICA,4 AÑOS,2014,MONTEVIDEO_FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN,,https://fhce.edu.uy/licenciatura-en-linguistica/,Grado,Licenciado/a
TECNICATURA UNIVERSITARIA EN CORRECCION DE ESTILO,2 AÑOS,2014,MONTEVIDEO_FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN,,https://fhce.edu.uy/tecnicatura-universitaria-en-correccion-de-estilo/,Grado,Técnico/a
TECNICATURA UNIVERSITARIA EN DRAMATURGIA,2 AÑOS,2015,MONTEVIDEO_FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN,,https://fhce.edu.uy/tecnicatura-universitaria-en-dramaturgia/,Grado,Técnico/a
TECNICATURA UNIVERSITARIA EN MUSEOLOGÍA,2 AÑOS,2009,MONTEVIDEO_FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN,,https://fhce.edu.uy/tecnicatura-universitaria-en-museologia/,Grado,Técnico/a
TECNICATURA EN INTERPRETACIÓN Y TRADUCCIÓN LSU – ESPAÑOL,3 AÑOS,2014,MONTEVIDEO_FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN,,https://fhce.edu.uy/tecnologo-en-interpretacion-y-traduccion-lsu-espanol/,Grado,Técnico/a
LICENCIATURA EN ARCHIVOLOGIA,4 AÑOS,2012,MONTEVIDEO_FACULTAD DE CIENCIAS DE LA COMUNICACIÓN,,https://fic.edu.uy/ensenanza/grado/lic-en-archivologia,Grado,Licenciado/a
LICENCIATURA EN BIBLIOTECOLOGIA,4 AÑOS,2012,MONTEVIDEO_FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN,,https://fic.edu.uy/ensenanza/grado/lic-en-bibliotecologia,Grado,Licenciado/a
LICENCIATURA EN COMUNICACIÓN V.2019,4 AÑOS,2012,MONTEVIDEO_FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN,,https://fic.edu.uy/ensenanza/grado/lic-en-comunicacion,Grado,Licenciado/a
LICENCIATURA EN CIENCIA POLÍTICA,4 AÑOS,2009,MONTEVIDEO_FACULTAD DE CIENCIAS SOCIALES,,https://cienciassociales.edu.uy/departamento-de-ciencia-politica/licenciatura-en-ciencia-politica/,Grado,Licenciado/a
LICENCIATURA EN DESARROLLO,4 AÑOS,2009,MONTEVIDEO_FACULTAD DE CIENCIAS SOCIALES,,https://cienciassociales.edu.uy/ensenanza/licenciatura-en-desarrollo/,Grado,Licenciado/a
LICENCIATURA EN SOCIOLOGÍA,4 AÑOS,2009,MONTEVIDEO_FACULTAD DE CIENCIAS SOCIALES,,https://cienciassociales.edu.uy/ensenanza/licenciatura-en-sociologia/,Grado,Licenciado/a
LICENCIATURA EN TRABAJO SOCIAL,4 AÑOS,2009,MONTEVIDEO_FACULTAD DE CIENCIAS SOCIALES,,https://cienciassociales.edu.uy/ensenanza/licenciatura-en-trabajo-social/,Grado,Licenciado/a
LICENCIATURA EN BIOLOGÍA HUMANA,4 AÑOS,,MONTEVIDEO_FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN,,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Licenciado/a
ABOGACIA,5 AÑOS,2016,CENUR LITORAL_SALTO,FACULTAD DE DERECHO,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Abogado/a
BIOQUIMICO CLINICO,4 AÑOS,2015,CENUR LITORAL_SALTO,FACULTAD DE QUÍMICA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Bioquímico/a Clínico/a
CICLO EN BIOLOGÍA - BIOQUÍMICA,2 AÑOS,2016,CENUR LITORAL_SALTO,FACULTAD DE CIENCIAS,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Ciclo Inicial,
CICLO INICIAL DE MATEMATICA,2 AÑOS,2012,CENUR LITORAL_SALTO,FACULTAD DE CIENCIAS E INGENIERÍA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Ciclo Inicial,
INGENIERIA DE ALIMENTOS,5 AÑOS,2003,CENUR LITORAL_SALTO,FACULTAD DE QUÍMICA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Ingeniero/a
INGENIERIA EN COMPUTACION,5 AÑOS,1997,CENUR LITORAL_PAYSANDÚ,FACULTAD DE INGENIERÍA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Ingeniero/a
INGENIERIA EN COMPUTACION,5 AÑOS,1997,CENUR LITORAL_SALTO,FACULTAD DE INGENIERÍA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Ingeniero/a
INGENIERIA QUIMICA,5 AÑOS,2000,CENUR LITORAL_SALTO,FACULTAD DE INGENIERÍA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Ingeniero/a
INGENIERO AGRONOMO,5 AÑOS,2020,CENUR LITORAL_SALTO,FACULTAD DE AGRONOMÍA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Ingeniero/a
LIC. EN EDUCACION FISICA,4 AÑOS,2017,CENUR LITORAL_PAYSANDÚ,INSTITUTO SUPERIOR DE EDUCACIÓN FÍSICA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Licenciado/a
LIC EN INGENIERIA BIOLOGICA,4 AÑOS Y MEDIO,2013,CENUR LITORAL_SALTO,FACULTAD DE INGENIERÍA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Licenciado/a
LIC. RECURSOS HÍDRICOS Y RIEGO,4 AÑOS,2016,CENUR LITORAL_SALTO,FACULTAD DE INGENIERÍA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Licenciado/a
LICENCIATURA EN DISEÑO INTEGRADO,4 AÑOS,2012,CENUR LITORAL_SALTO,FACULTAD DE ARQUITECTURA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Licenciado/a
LICENCIATURA EN ENFERMERIA,4 AÑOS,2016,CENUR LITORAL_SALTO,FACULTAD DE ENFERMERÍA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Licenciado/a
LICENCIATURA EN QUIMICA,4 AÑOS,2016,CENUR LITORAL_SALTO,FACULTAD DE QUÍMICA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Licenciado/a
LICENCIATURA EN TURISMO,4 AÑOS,2014,CENUR LITORAL_SALTO,FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Licenciado/a
MEDICO VETERINARIO,5 AÑOS,2021,CENUR LITORAL_SALTO,FACULTAD DE VETERINARIA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Doctor/a
NOTARIADO,5 AÑOS,2016,CENUR LITORAL_SALTO,FACULTAD DE DERECHO,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Escribano/a Público/a
QUIMICA FARMACEUTICA,5 AÑOS,2015,CENUR LITORAL_SALTO,FACULTAD DE QUÍMICA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Quimico/a Farmacéutico/a
QUIMICO,5 AÑOS,2015,CENUR LITORAL_SALTO,FACULTAD DE QUÍMICA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Quimico/a
QUÍMICO AGRÍCOLA Y MEDIO AMBIENTE,5 AÑOS,,CENUR LITORAL_SALTO,FACULTAD DE QUÍMICA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Quimico/a
QUÍMICO AGRÍCOLA Y MEDIO AMBIENTE,5 AÑOS,,CENUR LITORAL_PAYSANDÚ,FACULTAD DE QUÍMICA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Quimico/a
TECNICATURA BACHILLER EN CIENCIAS QUIMICAS,2 AÑOS Y MEDIO,2015,CENUR LITORAL_PAYSANDÚ,FACULTAD DE QUÍMICA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Técnico/a
TECNICATURA BACH. EN CS.QUIMICAS,2 AÑOS Y MEDIO,2015,CENUR LITORAL_SALTO,FACULTAD DE QUÍMICA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Técnico/a
TECNICATURA EN DEPORTES,2 AÑOS,2007,CENUR LITORAL_PAYSANDÚ,INSTITUTO SUPERIOR DE EDUCACIÓN FÍSICA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Técnico/a
TECNICATURA EN DIRECCION DE COROS,4 AÑOS,2002,CENUR LITORAL_SALTO,FACULTAD DE ARTES,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Técnico/a
TECNICATURA EN INTERPRETACION,4 AÑOS,2002,CENUR LITORAL_SALTO,FACULTAD DE ARTES,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Técnico/a
TECNICATURA EN TECNOLOGIAS DE LA IMAGEN FOTOGRAFICA,3 AÑOS,2008,CENUR LITORAL_PAYSANDÚ,FACULTAD DE ARTES,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Técnico/a
TECNICATURA UNIVERSITARIA EN BIENES CULTURALES,2 AÑOS Y MEDIO,2021,CENUR LITORAL_PAYSANDÚ,FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Técnico/a
TECNÓLOGO INTERPRETACIÓN Y TRADUCCIÓN LSU ESP,3 AÑOS,2014,CENUR LITORAL_SALTO,FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Tecnólogo/a
CICLO INICIAL OPTATIVO ÁREA SALUD - 1ER. AÑO DOCTOR EN MEDICINA,1 AÑO,,CENUR LITORAL_PAYSANDÚ,,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Ciclo Inicial,
CICLO INICIAL OPTATIVO ÁREA SALUD - 1ER. AÑO LIC. EN PSICOLOGÍA PAYSANDÙ,1 AÑO,,CENUR LITORAL_PAYSANDÚ,,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Ciclo Inicial,
CICLO INICIAL OPTATIVO ÁREA SALUD TRAYECTORIAS EN TECNOLOGÍA MEDICA-MEDICINA,1 AÑO,,CENUR LITORAL_PAYSANDÚ,,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Ciclo Inicial,
CICLO INICIAL OPTATIVO AREA SOCIAL-T. CIENCIAS DE LA COMUNICACION,1 AÑO,,CENUR LITORAL_SALTO,,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Ciclo Inicial,
CICLO INICIAL OPTATIVO AREA SOCIAL-T. CIENCIAS ECONOMICAS,1 AÑO,,CENUR LITORAL_SALTO,,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Ciclo Inicial,
CICLO INICIAL OPTATIVO AREA SOCIAL-T. EN PSICOLOGIA,1 AÑO,,CENUR LITORAL_SALTO,,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Ciclo Inicial,
CICLO INICIAL OPTATIVO AREA SOCIAL-T. EN TURISMO,1 AÑO,,CENUR LITORAL_SALTO,,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Ciclo Inicial,
CICLO INICIAL OPTATIVO CIENTIFICO TECNOLOGICO,1 AÑO,,CENUR LITORAL_SALTO,,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Ciclo Inicial,
CICLO INICIAL EN CIENCIAS SOCIALES,2 AÑOS,,CENUR LITORAL_SALTO,,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Ciclo Inicial,
LICENCIATURA NACIONAL DE OBSTETRICIA,4 AÑOS,,CENUR LITORAL_PAYSANDÚ,,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Licenciado/a
