CARRERA,DURACIÓN,PLAN DE ESTUDIOS VIGENTE,SERVICIO UNIVERSITARIO,SERVICIO UNIVERSITARIO DE REFERENCIA,ENLACE A INFORMACIÓN INSTITUCIONAL,Nivel,Titulación
CIO AREA SOCIAL - TRAYECTORIA CIENCIAS SOCIALES,1 AÑO,2010,CURE_MALDONADO,,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,
CIO AREA SOCIAL - TRAYECTORIA CIENCIAS SOCIALES,1 AÑO,2010,CURE_ROCHA,,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,
CIO AREA SOCIAL - TRAYECTORIA CIENCIAS SOCIALES,1 AÑO,2010,CURE_TREINTA Y TRES,,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,
CIO AREA SOCIAL - TRAYECTORIA TAC,1 AÑO,2010,CURE_MALDONADO,,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,
CIO AREA SOCIAL - TRAYECTORIA TAC,1 AÑO,2010,CURE_ROCHA,,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,
CIO AREA SOCIAL - TRAYECTORIA TAC,1 AÑO,2010,CURE_TREINTA Y TRES,,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,
CIO AREA SOCIAL - TRAYECTORIA TURISMO,1 AÑO,2010,CURE_MALDONADO,,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,
CIO CIENCIA Y TECNOLOGÍA- TRAYECTORIA PSICOLOGIA,1 AÑO,2010,CURE_MALDONADO,,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,
CIO CIENCIA Y TECNOLOGÍA- TRAYECTORIA PSICOLOGIA,1 AÑO,2010,CURE_ROCHA,,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,
CIO CIENCIA Y TECNOLOGÍA- TRAYECTORIA PSICOLOGIA,1 AÑO,2010,CURE_TREINTA Y TRES,,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,
TECNÓLOGO EN INFORMÁTICA,3 AÑOS,2007,CURE_MALDONADO,FACULTAD DE INGENIERÍA,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Grado,Tecnólogo/a
TECNÓLOGO EN PRODUCCIÓN EQUINA,3 AÑOS,2022,CENUR NORESTE_CERRO LARGO,FACULTAD DE VETERINARIA,https://udelar.edu.uy/carrerasinterior/portada/centro-universitario-regional-noreste/cenur-noreste-sede-cerro-largo/,Grado,Tecnólogo/a
TECNÓLOGO EN SISTEMAS INTEGRADOS DE PRODUCCIÓN AGROPECUARIA,3 AÑOS,2022,CENUR NORESTE_CERRO LARGO,FACULTAD DE VETERINARIA,https://udelar.edu.uy/carrerasinterior/portada/centro-universitario-regional-noreste/cenur-noreste-sede-cerro-largo/,Grado,Tecnólogo/a
LICENCIATURA EN EDUCACIÓN FÍSICA – PRÁCTICAS EDUCATIVAS,4 AÑOS,2014,CENUR NORESTE_RIVERA,INSTITUTO SUPERIOR DE EDUCACIÓN FÍSICA,https://udelar.edu.uy/carrerasinterior/portada/centro-universitario-regional-noreste/cenur-noreste-rivera/,Grado,Licenciado/a
LICENCIATURA EN ENFERMERIA,4 AÑOS,2016,CENUR NORESTE_RIVERA,FACULTAD DE ENFERMERÍA,https://udelar.edu.uy/carrerasinterior/portada/centro-universitario-regional-noreste/cenur-noreste-rivera/,Grado,Licenciado/a
LICENCIATURA EN RECURSOS NATURALES,4 AÑOS,2010,CENUR NORESTE_RIVERA,FACULTAD DE CIENCIAS,https://udelar.edu.uy/carrerasinterior/portada/centro-universitario-regional-noreste/cenur-noreste-rivera/,Grado,Licenciado/a
TECNICATURA EN ARTES,3 AÑOS,2017,CENUR NORESTE_RIVERA,FACULTAD DE ARTES,https://udelar.edu.uy/carrerasinterior/portada/centro-universitario-regional-noreste/cenur-noreste-rivera/,Grado,Técnico/a
TECNOLOGO EN MADERA,3 AÑOS,2012,CENUR NORESTE_RIVERA,FACULTAD DE INGENIERÍA,https://udelar.edu.uy/carrerasinterior/portada/centro-universitario-regional-noreste/cenur-noreste-rivera/,Grado,Tecnólogo/a
INGENIERIA FORESTAL,5 AÑOS,2013,CENUR NORESTE_TACUAREMBÓ,FACULTAD DE INGENIERÍA,https://www.tacuarembo.udelar.edu.uy/carreras/,Grado,Ingeniero/a
LICENCIATURA EN ECONOMÍA AGRÍCOLA Y GESTIÓN DE AGRONEGOCIOS,4 AÑOS,2022,CENUR NORESTE_TACUAREMBÓ,FACULTAD DE CIENCIAS ECONÓMICAS Y DE ADMINISTRACIÓN,https://www.tacuarembo.udelar.edu.uy/carreras/,Grado,Licenciado/a
TECNICATURA EN DESARROLLO REGIONAL SUSTENTABLE,3 AÑOS,2013,CENUR NORESTE_TACUAREMBÓ,FACULTAD DE CIENCIAS SOCIALES,https://www.tacuarembo.udelar.edu.uy/carreras/,Grado,Técnico/a
TECNICATURA UNIVERSITARIA EN BIENES CULTURALES,2 AÑOS Y MEDIO,2021,CENUR NORESTE_TACUAREMBÓ,FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN,https://www.tacuarembo.udelar.edu.uy/carreras/,Grado,Técnico/a
TECNICO OPERADOR DE ALIMENTOS,2 AÑOS,2011,CENUR NORESTE_TACUAREMBÓ,ESCUELA DE NUTRICIÓN,https://www.tacuarembo.udelar.edu.uy/carreras/,Grado,Técnico/a
TECNOLOGO EN ADMINISTRACION Y CONTABILIDAD,2 AÑOS Y MEDIO,2012,CENUR NORESTE_TACUAREMBÓ,FACULTAD DE CIENCIAS ECONÓMICAS Y DE ADMINISTRACIÓN,https://www.tacuarembo.udelar.edu.uy/carreras/,Grado,Tecnólogo/a
CICLO INICIAL OP. AREA SOCIAL,1 AÑO,2017,CENUR NORESTE_CERRO LARGO,,https://udelar.edu.uy/carrerasinterior/portada/centro-universitario-regional-noreste/cenur-noreste-sede-cerro-largo/,Ciclo Inicial,
CICLO INICIAL OP. AREA SOCIAL,1 AÑO,2017,CENUR NORESTE_RIVERA,,https://udelar.edu.uy/carrerasinterior/portada/centro-universitario-regional-noreste/cenur-noreste-rivera/,Ciclo Inicial,
CICLO INICIAL OP. AREA SOCIAL,1 AÑO,2017,CENUR NORESTE_TACUAREMBÓ,,https://www.tacuarembo.udelar.edu.uy/carreras/,Ciclo Inicial,
LICENCIATURA EN BIOLOGÍA HUMANA,4 AÑOS,,CENUR NORESTE_RIVERA,,https://udelar.edu.uy/carrerasinterior/licenciatura-en-biologia-humana-3/,Grado,Licenciado/a
TÉCNICO EN GESTIÓN DE RECURSOS NATURALES Y DESARROLLO SUSTENTABLE,2 AÑOS Y MEDIO,,CENUR NORESTE_RIVERA,,https://www.fcien.edu.uy/ensenanza/carreras-de-grado/tecnicatura-gestion-recursos-naturales/2338-tecnicatura-en-gestion-de-recursos-naturales-y-desarrollo-sustentable,Grado,Técnico/a
