Ruee_Calculado,Rule_Calculado,GRADO_ANNO,BACHIILER_DIVNOMBRE,Turno,PLAN,MODALIDAD,NOMBRELIC,DescPlan,RUEE_RAD
1219005,3190086,4,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,LA CHARQUEADA,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219005,3190086,4,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,LA CHARQUEADA,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219005,3190086,4,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,LA CHARQUEADA,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219005,3190086,4,,MATUTINO EXTENDIDO,PLAN 2024 EDUCACIÓN MEDIA SUPERIOR,ANUAL,LA CHARQUEADA,https://www.dges.edu.uy/node/120417,
1219004,3190088,4,,INTERMEDIO EXTENDIDO ,REFORMULACIÓN 2006,ANUAL,VERGARA,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219004,3190088,4,,INTERMEDIO EXTENDIDO ,REFORMULACIÓN 2006,ANUAL,VERGARA,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219004,3190088,4,,INTERMEDIO EXTENDIDO ,REFORMULACIÓN 2006,ANUAL,VERGARA,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219004,3190088,4,,INTERMEDIO EXTENDIDO ,REFORMULACIÓN 2006,ANUAL,VERGARA,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219004,3190088,4,,INTERMEDIO EXTENDIDO ,REFORMULACIÓN 2006,ANUAL,VERGARA,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219004,3190088,4,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,VERGARA,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219004,3190088,4,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,VERGARA,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219004,3190088,4,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,VERGARA,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219004,3190088,4,,INTERMEDIO EXTENDIDO ,PLAN 2024 EDUCACIÓN MEDIA SUPERIOR,ANUAL,VERGARA,https://www.dges.edu.uy/node/120417,
1219003,3190085,4,,INTERMEDIO EXTENDIDO ,REFORMULACIÓN 2006,ANUAL,CERRO CHATO,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219003,3190085,4,,INTERMEDIO EXTENDIDO ,REFORMULACIÓN 2006,ANUAL,CERRO CHATO,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219003,3190085,4,,INTERMEDIO EXTENDIDO ,REFORMULACIÓN 2006,ANUAL,CERRO CHATO,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219003,3190085,4,,INTERMEDIO EXTENDIDO ,REFORMULACIÓN 2006,ANUAL,CERRO CHATO,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219003,3190085,4,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,CERRO CHATO,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219003,3190085,4,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,CERRO CHATO,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219003,3190085,4,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,CERRO CHATO,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219003,3190085,4,,INTERMEDIO EXTENDIDO ,PLAN 2024 EDUCACIÓN MEDIA SUPERIOR,ANUAL,CERRO CHATO,https://www.dges.edu.uy/node/120417,
1219002,3190087,4,,MATUTINO EXTENDIDO,REFORMULACIÓN 2006,ANUAL,SANTA CLARA DE OLIMAR,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219002,3190087,4,,MATUTINO EXTENDIDO,REFORMULACIÓN 2006,ANUAL,SANTA CLARA DE OLIMAR,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219002,3190087,4,,MATUTINO EXTENDIDO,REFORMULACIÓN 2006,ANUAL,SANTA CLARA DE OLIMAR,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219002,3190087,4,,MATUTINO EXTENDIDO,REFORMULACIÓN 2006,ANUAL,SANTA CLARA DE OLIMAR,https://www.dges.edu.uy/propuesta-educativa/educacion-media-superior-plan-2006,
1219002,3190087,4,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,SANTA CLARA DE OLIMAR,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219002,3190087,4,,INTERMEDIO EXTENDIDO ,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,SANTA CLARA DE OLIMAR,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219002,3190087,4,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,SANTA CLARA DE OLIMAR,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219002,3190087,4,,INTERMEDIO EXTENDIDO ,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,SANTA CLARA DE OLIMAR,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219002,3190087,4,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,SANTA CLARA DE OLIMAR,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219002,3190087,4,,INTERMEDIO EXTENDIDO ,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,SANTA CLARA DE OLIMAR,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1219002,3190087,4,,MATUTINO EXTENDIDO,PLAN 2024 EDUCACIÓN MEDIA SUPERIOR,ANUAL,SANTA CLARA DE OLIMAR,https://www.dges.edu.uy/node/120417,
1219002,3190087,4,,INTERMEDIO EXTENDIDO ,PLAN 2024 EDUCACIÓN MEDIA SUPERIOR,ANUAL,SANTA CLARA DE OLIMAR,https://www.dges.edu.uy/node/120417,
