X,Y,Ruee,,Descripcion_Escuela,Deptotext,Departamento,Localidad,Paraje,Calle,NroPuerta,Telefono,Rule,Mail
-56.5166813340622,-33.3883397002831,1306152,CETP,POLO EDUCATIVO TECNOLOGICO DURAZNO,,DURAZNO,DURAZNO,DURAZNO,MAESTRO AGUSTIN FERREIRO ESQ 4 DE OCTUBRE,S/N,4362 8735,,
-56.5455604436697,-33.3347362494676,1306153,CETP,ESCUELA AGRARIA DURAZNO,,DURAZNO,ZONA RURAL ,ZONA RURAL ,RUTA 4 PARAJE “EL SALADO”,S/N,4360 2106 - 4362 8326,,
-55.6308833313143,-33.3428937389589,1306851,CETP,ESCUELA TECNICA SARANDI DEL YI,,DURAZNO,SARANDI DEL YI,SARANDI DEL YI,A. SOSA BERNADET,579,4367 9068- 4367 8652,,
-57.0636490533833,-33.8815281228571,1307504,CETP,ESCUELA AGRARIA SUPERIOR LA CAROLINA,,FLORES,ZONA RURAL ,ZONA RURAL ,RUTA 23 KM.163.500,S/N,4530 9080 -  4530 9255,,
-56.894635282557,-33.5163779662075,1307901,CETP,ESCUELA TECNICA TRINIDAD,,FLORES,TRINIDAD,TRINIDAD,25 DE AGOSTO,427,4364 8962 - 4364 2426,,
-56.2363789405492,-34.0647283641017,1308210,CETP,C.E.A. ESCUELA N° 23 - CHACRAS DE FLORIDA,,FLORIDA,ZONA RURAL ,CHACRAS DE FLORIDA,RUTA 5 - KM. 101.500,S/N,43502720,,
-56.2141130910464,-34.1019335293718,1308251,CETP,ESCUELA TECNICA SUPERIOR FLORIDA,,FLORIDA,FLORIDA,FLORIDA,GENERAL FLORES  Y BATLLE Y ORDOÑEZ,541,4352 6757 - 4352 2280,,
-56.225963828299,-34.1077445145566,1308254,CETP,ESCUELA AGRARIA FLORIDA,,FLORIDA,FLORIDA,FLORIDA,ITUZAINGO  C.P. 94000 ESQ TREINTA Y TRES,S/N,4352 3168 - 4352 2280,,
-56.3330844439637,-33.7033644433239,1308853,CETP,ESCUELA AGRARIA SARANDI GRANDE,,FLORIDA,SARANDI GRANDE,SARANDI GRANDE,RUTA 5  KM.142.500,S/N,4354 9163,,
-54.5378457658053,-33.452801719931,1309481,CETP,ESCUELA TECNICA JOSE PEDRO VARELA,,LAVALLEJA,JOSE PEDRO VARELA,JOSE PEDRO VARELA,CANIELONES Y SAN JOSE,S/N,4455 9554,,
-55.2313598157577,-34.3730895148799,1309581,CETP,ESCUELA TECNICA MINAS,,LAVALLEJA,MINAS,MINAS,AVDA. JOSE PEDRO VARELA ESQ JOAQUIN SUAREZ,850,4442 9455 - 4442 9492,,
-55.2203814266113,-34.3651488406228,1309593,CETP,ESCUELA AGRARIA MINAS (CBT ESC. Nº 72),,LAVALLEJA,MINAS,MINAS,LEANDRO GOMEZ,S/N,4444 1794,,
-54.7881126985765,-33.7395245870155,1309703,CETP,ESCUELA AGRARIA PIRARAJA,,LAVALLEJA,PIRARAJA,PIRARAJA,CNO. VECINAL 9ª SEC. JUDICIAL,S/N,4448 2014 - 4448 2292,,
-54.9390631732061,-34.8932318311021,1310550,CETP,C.E.C. MALDONADO NUEVO,,MALDONADO,MALDONADO,MALDONADO,LIBERTAD  ESQ. JUAN CORREA,S/N,4226 3103,,
-54.9589175290046,-34.9106965961434,1310551,CETP,ESCUELA TECNICA SUPERIOR MALDONADO,,MALDONADO,MALDONADO,MALDONADO,RAFAEL PEREZ DEL PUERTO,807,4222 3651 - 4225 0742  -4223 2825 - 4222 3651,,
-54.9473948760429,-34.9079871092767,1310552,CETP,ESCUELA TECNICA DE LA CONSTRUCCION DE MALDONADO,,MALDONADO,MALDONADO,MALDONADO,AVDA. AIGUA ESQ.  BVAR ARTIGAS,S/N,4227 1569,,
-55.2196732339472,-34.840270605537,1310554,CETP,POLO EDUCATIVO TECNOLOGICO LOS ARRAYANES,,MALDONADO,ZONA RURAL ,ZONA RURAL ,CNO LOS ARRAYANES KM 7,S/N,4490 2185,,
-55.1330563685928,-34.8618902896014,1310581,CETP,ESCUELA TECNICA MINAS,,MALDONADO,LA CAPUERA,LA CAPUERA,AVDA. DE LOS CISNES  Y 17 MTS. (KM. 110 RUTA INTERBALNERIA),S/N,4255 9038,,
-54.9730041241053,-34.8843814273084,1310591,CETP,ESCUELA TECNICA CERRO PELADO,,MALDONADO,MALDONADO,CERRO PELADO,CERRO DE LAS CAÑAS Y CERRO SAN ANTONIO,S/N,4227 2341,,
-54.9503543091909,-34.9381670499917,1310652,CETP,ESCUELA ALTA GASTRONOMIA DR. P. FIGARI,,MALDONADO,PUNTA DEL ESTE,PUNTA DEL ESTE,PLAYA MANSA - RAMBLA WILLIMAN - PARADA 12,S/N,4248 8808 - 4248 8363,,
-55.2212831768049,-34.7714915134284,1310701,CETP,ESCUELA TECNICA PAN DE AZUCAR,,MALDONADO,PAN DE AZUCAR,PAN DE AZUCAR,FELIX DE LIZARZA ESQ CARLOS SILVA,1014,4434 9093 - 4434 6183,,
-55.4050296623411,-34.7463752583489,1310753,CETP,ESCUELA AGRARIA GREGORIO AZNAREZ,,MALDONADO,GREGORIO AZNAREZ,GREGORIO AZNAREZ,CALLE GREGORIO AZNAREZ ESQ  RICARDO BORNIO,S/N,4439 0279,,
-54.9215631711118,-34.7920672224273,1310851,CETP,ESCUELA TECNICA SAN CARLOS,,MALDONADO,SAN CARLOS,SAN CARLOS,ALVARIZA ESQ TREINTA Y TRES,773,4266 9234 - 4266 9567,,
-57.2347992157926,-32.3598976966323,1311303,CETP,ESCUELA AGRARIA GUICHON,,PAYSANDU,ZONA RURAL ,GUICHON,RUTA 90 KM.86.500,S/N,4740 2296 - 4740 2860,,
-57.9446623895766,-31.9019874858611,1311403,CETP,ESCUELA AGRARIA GUAVIYU,,PAYSANDU,ZONA RURAL ,COLONIA ROS DE OGER,COLONIA ROS DE OGER GUAVIYU,S/N,4750 4204 - 4750 4021,,
-57.9245943590782,-32.0880280224696,1311523,CETP,ESCUELA AGRARIA LORENZO GEYRES,,PAYSANDU,LORENZO GEYRES,LORENZO GEYRES,CAMINO VECINAL A 1 KM DE RUTA 3 KM 392,S/N,4720 3457,,
-58.0805884911259,-32.3189985074973,1311701,CETP,ESCUELA TECNICA SUPERIOR PAYSANDU,,PAYSANDU,PAYSANDU,PAYSANDU,MONTE CASEROS ESQ SARANDI,875,4722 2580 - 4723 4830  - 4722 5716,,
-58.0835072414079,-32.2616379001768,1311721,CETP,POLO EDUCATIVO TECNOLOGICO - PAYSANDU,,PAYSANDU,PAYSANDU,NUEVO PAYSANDU,CALLE 17 SALADERO SANTA MARIA ESQ. AVDA. DE LAS AMERICAS,S/N,4723 2993,,
-58.0838006498673,-32.3193317870585,1311722,CETP,INSTITUTO TECNOLOGICO SUPERIOR PAYSANDU,,PAYSANDU,PAYSANDU,PAYSANDU,SARANDI,1138,47229685,,
-58.0854647462255,-32.3047671444124,1311731,CETP,INSTITUTO DE ALTA ESPECIALIZACION - PAYSANDU,,PAYSANDU,PAYSANDU,PAYSANDU,SETEMBRINO PEREDA Y HORACIO MERIGGI,,,,
-57.4363791288767,-31.9899780290899,1311753,CETP,ESCUELA AGRARIA PASO DE LOS CARROS,,PAYSANDU,ZONA RURAL ,PASO DE LOS CARROS,RUTA 26 KM. 68,S/N,092 020 509,,
-58.0537497390174,-32.2708653265482,1311803,CETP,ESCUELA AGRARIA MELCHORA CUENCA,,PAYSANDU,PAYSANDU,NUEVO PAYSANDU,AV DE LAS AMERICAS ESQ BVAR ARTIGAS,S/N,4725 6333,,
-58.3115466722745,-33.1195981761662,1312261,CETP,ESCUELA TECNICA FRAY BENTOS,,RIO NEGRO,FRAY BENTOS,FRAY BENTOS,HAEDO E ITUZAINGO,S/N,4562 5640 - 4562 2262,,
-58.3132455181921,-33.1321981900642,1312262,CETP,INSTITUTO DE ALTA ESPECIALIZACION - FRAY BENTOS,,RIO NEGRO,ZONA RURAL,ZONA RURAL,CNO. BATLLE Y ORDOÑEZ S/N,,,,
-58.3132455181921,-33.1321981900642,1312263,CETP,ESCUELA AGRARIA FRAY BENTOS,,RIO NEGRO,FRAY BENTOS,FRAY BENTOS,CNO. BATLLE Y ORDOÑEZ,S/N,4562 2512 - 4562 5633,,
-57.6368175121527,-32.7027970654825,1312981,CETP,ESCUELA TECNICA YOUNG,,RIO NEGRO,YOUNG,YOUNG,LAS PIEDRAS ESQ. RIO NEGRO,S/N,4567 2023 - 4567 3111,,
-55.4860841510028,-31.5761170845346,1313573,CETP,ESCUELA AGRARIA MINAS DE CORRALES,,RIVERA,MINAS DE CORRALES,MINAS DE CORRALES,RUTA 28 KM30,S/N,4650 8142 - 4658 2032,,
-55.5572689194717,-30.8855637331981,1313811,CETP,ESCUELA TECNICA RIVERA N° 2,,RIVERA,RIVERA,RIVERA,BERNABE RIVERA 349,,,,
-55.5469887536615,-30.9006146683869,1313821,CETP,ESCUELA TECNICA SUPERIOR RIVERA,,RIVERA,RIVERA,RIVERA,PANTALEON QUESADA ESQ BRASIL,770,4622 3001 - 4623 2701,,
-55.5478691660475,-30.9302977983488,1313823,CETP,POLO EDUCATIVO TECNOLOGICO RIVERA,,RIVERA,RIVERA,LA PEDRERA,RUTA 5 KM. 496.500,S/N,4622 4744 - 4623 2501,,
-55.7525940223991,-31.2008434207831,1313831,CETP,ESCUELA TECNICA TRANQUERAS,,RIVERA,TRANQUERAS,TRANQUERAS,AV. RAUL CAMCHO ESQ. SIMON BOLIVAR,S/N,4656 3887 - 4656 3887,,
-54.6944849987366,-31.7787300755983,1313961,CETP,ESCUELA TECNICA VICHADERO,,RIVERA,VICHADERO,VICHADERO,PTE. KENNEDY,423,4654 2311,,
-53.8614682946752,-34.2006496157985,1314111,CETP,ESCUELA TECNICA CASTILLOS,,ROCHA,CASTILLOS,CASTILLOS,18 DE JULIO,1282,4475 7678 - 4475 7912,,
-53.3941110422535,-33.7552479172246,1314120,CETP,C.E.A. ESCUELA Nº 74 BARRA DEL CHUY,,ROCHA,BARRA DEL CHUY,BARRA DEL CHUY,RAMAL RUTA 9 PARADA DE Y LOS CEIBOS,S/N,44749097,,
-53.4590304226977,-33.6962760392177,1314121,CETP,ESCUELA TECNICA CHUY,,ROCHA,CHUY,CHUY,FRANCISCO DE LOS SANTOS,685,4474 4616 -4474 4941,,
-53.4790221046958,-33.6920262704737,1314122,CETP,INSTITUTO DE ALTA ESPECIALIZACION - CHUY,,ROCHA,ZONA RURAL,ZONA RURAL,RUTA 19,,,,
-54.2046489066455,-33.6748223563787,1314531,CETP,ESCUELA TECNICA LASCANO,,ROCHA,LASCANO,LASCANO,LIBERTAD Y 25 DE AGOSTO,S/N,4456 9129 - 4456 9862,,
-54.3495218502517,-34.4855066424083,1314810,CETP,C.E.A. ESCUELA Nº 90 HIPODROMO - ROCHA,,ROCHA,ROCHA,HIPODROMO,APARICIO SARAVIA,S/N,44722497,,
-54.3293056922097,-34.4807121167423,1314811,CETP,ESCUELA TECNICA ROCHA,,ROCHA,ROCHA,ROCHA,BATLLE Y ORDOÑEZ OROSMAN,S/N,4472 - 2787 - 4472 2237,,
-54.3113791419553,-34.4945258091799,1314813,CETP,ESCUELA AGRARIA ROCHA,,ROCHA,ROCHA,ROCHA,RUTA 15 KM.27.500,S/N,4472 1170 - 4472 2590,,
-57.7775979769097,-30.7906363485582,1315061,CETP,ESCUELA TECNICA BELEN,,SALTO,BELEN,BELEN,SOLIS ESQ BALBELA,S/N,4766 2003,,
-57.9710843437795,-31.3902021510231,1315722,CETP,ESCUELA SUPERIOR CATALINA HARRIAGUE DE CASTAÑOS - SALTO,,SALTO,SALTO,SALTO,JOSE P. VARELA ESQ JUAN CARLOS GOMEZ,441,4733 2362 - 4733 0441 - 4733 5987,,
-57.9584239348864,-31.3904417644249,1315822,CETP,INSTITUTO DE ALTA ESPECIALIZACION - SALTO,,SALTO,SALTO,SALTO,MISIONES Y GRAL. FRUCTUOSO RIVERA,,,,
-57.9714081045272,-31.3910026636373,1315852,CETP,ESCUELA TECNOLOGICA SUPERIOR ADM.Y SERV. SALTO,,SALTO,SALTO,SALTO,JUAN CARLOS GOMEZ ESQ CERVANTES,341,4732 3779 - 4732 3780,,
-57.9032731868587,-31.2707380582116,1315853,CETP,ESCUELA AGRARIA SALTO,,SALTO,ZONA RURAL ,ZONA RURAL ,RUTA LUIS BATLLE BERRES EX  RUTA 3) KM. 510 - SALTO GRANDE,S/N,4732 2862,,
-57.0472035424469,-34.353594732101,1316201,CETP,ESCUELA TECNICA ECILDA PAULLIER,,SAN JOSE,ECILDA PAULLIER,ECILDA PAULLIER,MANUEL ORIBE Y  25 DE MAYO,S/N,4349 2379 - 4349 3202,,
-56.6154364684394,-34.6309022717286,1316521,CETP,ESCUELA TECNICA LIBERTAD,,SAN JOSE,LIBERTAD,LIBERTAD,25 DE AGOSTO,749,4345 4160 - 4345 2153,,
