X,Y,RUEE,SUBSISTEMA,NOMBRE,DEPTO,DEPTO_TEX,LOCALIDAD,PARAJE,CALLE,N_PUERTA,TELEFONO,RULE_EST
-54.944761451012646,-34.898688843285228,1110087,CEIP,N° 87,10,MALDONADO,MALDONADO,MALDONADO,SIMON DEL PINO Y CARACARA,S/N,42231347,2100087
-54.96054539946546,-34.909525391803506,1110002,CEIP,N° 2  JOSE PEDRO VARELA,10,MALDONADO,MALDONADO,MALDONADO,Z. MICHELINI Y 25 DE MAYO,S/N,42222210,2100002
-54.930780371009682,-34.939784151112114,1110021,CEIP,N° 21  JUAN ZORRILLA DE SAN MARTIN,10,MALDONADO,PUNTA DEL ESTE,PUNTA DEL ESTE,SALTO Y PORTO ALEGRE,S/N,42483368,2100021
-54.938337211135099,-34.897492808409019,1110095,CEIP,N° 95  ESPAÑA,10,MALDONADO,MALDONADO,MALDONADO,CALLE CARACARA Y MEBOIPE,S/N,42237848 - 42238040,2100094
-54.955773239183884,-34.903869779051334,1110097,CEIP,N° 97  TACUABE,10,MALDONADO,MALDONADO,MALDONADO,RINCON Y VARELA,S/N,42227704,2100096
-54.966801179369895,-34.90365725622496,1110027,CEIP,N° 27  JUAN ANTONIO LAVALLEJA,10,MALDONADO,MALDONADO,MALDONADO,CAROLINA SABOYA,S/N,42224671,2100027
-54.944761451012646,-34.898688843285228,1110091,CEIP,N° 91,10,MALDONADO,MALDONADO,MALDONADO,SIMON DEL PINO Y CARACARA,S/N,42247863,2100087
-54.950469755213064,-34.914362133741804,1110092,CEIP,N° 92,10,MALDONADO,PUNTA DEL ESTE,PUNTA DEL ESTE,3 DE FEBRERO Y YERBAL,S/N,42223551,2100091
-54.950810724964718,-34.91454990940025,1110084,CEIP,N° 84,10,MALDONADO,PUNTA DEL ESTE,PUNTA DEL ESTE,SAN MARTIN,S/N,42221423,2100084
-54.950678543466751,-34.914563419816744,1110079,CEIP,N° 79  ROSALIA DE CASTRO,10,MALDONADO,PUNTA DEL ESTE,PUNTA DEL ESTE,SAN MARTIN,S/N,42222166,2100079
-54.945404471477609,-34.917067244781002,1110099,CEIP,N° 99,10,MALDONADO,PUNTA DEL ESTE,PUNTA DEL ESTE,LA VIRGEN Y TAHILANDIA,S/N,42236809,2100098
-54.954561409824542,-34.918278215967113,1110004,CEIP,N° 4,10,MALDONADO,MALDONADO,PINARES - LAS DELICIAS,SUIZA E ISLANDIA,S/N,42223052,2100004
-54.94381733560347,-34.906045873226944,1110093,CEIP,N° 93,10,MALDONADO,MALDONADO,ABAYUBA,AVDA. DE LOS GAUCHOS CASI RIVERA,S/N,42238528,2100092
-54.939429563675823,-34.894575625375353,1110094,CEIP,N° 94,10,MALDONADO,MALDONADO,MALDONADO,AGAPITO PARABERA,S/N,42232592,2100093
-54.944671057882076,-34.963502939771516,1110005,CEIP,N° 5  ALEJANDRO Y SAMUEL LAFONE,10,MALDONADO,PUNTA DEL ESTE,PUNTA DEL ESTE,GORLERO,692,42441838,2100005
-54.941657229943054,-34.906039351410314,1110050,CEIP,N° 50  MAESTRO ANTONIO CAMACHO,10,MALDONADO,MALDONADO,SAN MARTIN,SAN FERNANDO Y PAYSANDU,S/N,42227793,2100050
-54.978782746385839,-34.890396974961099,1110056,CEIP,N° 56  CLEMENTE ESTABLE,10,MALDONADO,MALDONADO,VILLA DELIA,SOLYMAR Y JOSE MIGUEZ,S/N,42222246,2100056
-54.860909588277508,-34.913265899917128,1110019,CEIP,N° 19  MTRA. RAQUEL RODRIGUEZ CANALE DE BARRIOS,10,MALDONADO,LA BARRA,LA BARRA,RUTA 10 KM 160. 500,S/N,42770342,2100019
-55.225544388657788,-34.769953920394023,1110078,CEIP,N° 78,10,MALDONADO,PAN DE AZUCAR,PAN DE AZUCAR,INDIO MIGUEL,880,44346323,2100078
-56.257919200529237,-34.728723180081239,1103072,CEIP,N° 72  MARIA ESTER LABARRERE,3,CANELONES,ZONA RURAL (Seleccionar Paraje),CUCHILLA DE SIERRA,CNO.PERUGORRIA Y PIEDRA SOLA,S/N,23647787,2030069
-56.33196836088527,-34.688351651685863,1103168,CEIP,N° 168,3,CANELONES,ZONA RURAL (Seleccionar Paraje),RINCON DEL COLORADO,RUTA 48 - KM. 8.500,S/N,23677852,2030154
-56.388689563175483,-34.687139375409146,1103143,CEIP,N° 143,3,CANELONES,ZONA RURAL (Seleccionar Paraje),LAS BRUJAS,RUTA 48 - KM. 1.500,S/N,43302458,2030132
-56.274539561947314,-34.664921027152403,1103032,CEIP,N° 32  JUAN FRANCISCO DELPIANO,3,CANELONES,ZONA RURAL (Seleccionar Paraje),COLORADO CHICO,CNOS. BRANDI Y CUATRO PIEDRAS,S/N,23689996,2030031
-56.316538854485131,-34.646013179068049,1103061,CEIP,N° 61  LORENZO MOZZONE,3,CANELONES,ZONA RURAL (Seleccionar Paraje),VILLA NUEVA,RUTA 36 - KM. 31.500,S/N,23678272,2030059
-56.316696358142082,-34.645888881989414,1103237,CEIP,N° 237,3,CANELONES,ZONA RURAL (Seleccionar Paraje),ZONA RURAL (Pareje sin asignar),RUTA 36 - KM 31.500,S/N,23677728,2030214
-56.362070153828867,-34.64140061442567,1103008,CEIP,N° 8,3,CANELONES,ZONA RURAL (Seleccionar Paraje),CERRILLOS AL SUR,RUTA 49 - KM. 7.500,S/N,43363044,2030007
-56.400910435134435,-34.644404768025957,1103037,CEIP,N° 37,3,CANELONES,ZONA RURAL (Seleccionar Paraje),QUINTA DE ILLA,CAMINO PRANDO,S/N,43302898,2030036
-56.413628889451509,-34.623555061626753,1103007,CEIP,N° 7,3,CANELONES,ZONA RURAL (Seleccionar Paraje),LOS CERRILLOS AL OESTE,RUTA 46 - KM. 46.500,S/N,43303812,2030006
-56.217995736691634,-34.683519604630391,1103099,CEIP,N° 99,3,CANELONES,PROGRESO,VILLA ALEGRIA,RUTA 5 -  KM. 26.500,S/N,23689994,2030093
-56.168844245935773,-34.697757834845355,1103012,CEIP,N° 12  FRANCISCO JAVIER CABRERA,3,CANELONES,ZONA RURAL (Seleccionar Paraje),POQUITOS,RUTA 32 - KM. 23.500,S/N,43202605,2030011
-56.173367297029223,-34.670030774762637,1103092,CEIP,N° 92,3,CANELONES,ZONA RURAL (Seleccionar Paraje),CANELON CHICO,RUTA 32 - KM. 27.800,S/N,23693257,2030087
-56.130644087408434,-34.671784107177125,1103014,CEIP,N° 14  DOMINGO PICCARDO,3,CANELONES,ZONA RURAL (Seleccionar Paraje),PUNTAS DE CANELON CHICO,RUTA 66 - KM. 28.800,S/N,43902019,2030013
-56.184838613905484,-34.587003405234036,1103134,CEIP,N° 134,3,CANELONES,ZONA RURAL (Seleccionar Paraje),RINCON DEL GIGANTE - CANELON CHICO,CAMINO AL GIGANTE  KM.45,S/N,43302119,2030124
-56.309123947972381,-34.597325876749693,1103208,CEIP,N° 208  BALMORIS LLOVERAS,3,CANELONES,ZONA RURAL (Seleccionar Paraje),EL TROPEZON,RUTA 36 - KM 32.400,S/N,43302449,2030194
-56.331360264505697,-34.585825291705483,1103005,CEIP,N° 5  REPUBLICA FRANCESA,3,CANELONES,ZONA RURAL (Seleccionar Paraje),LOS CERRILLOS,RUTA 46 - KM. 43.800,S/N,43363062,2030004
-56.418825376817274,-34.600095886807232,1103004,CEIP,N° 4,3,CANELONES,ZONA RURAL (Seleccionar Paraje),PARADOR TAJES,"RUTA 47 - KM. 46,500",S/N,43302352,2030003
-56.297438774086558,-34.567096828652851,1103088,CEIP,N° 88  ALFREDO B. NOBEL,3,CANELONES,ZONA RURAL (Seleccionar Paraje),LAS VIOLETAS,RUTA 5 - KM. 39,S/N,43324727,2030083
-56.109240568884914,-34.628186297209567,1103015,CEIP,N° 15,3,CANELONES,ZONA RURAL (Seleccionar Paraje),VILLA NUEVA,RUTA 33 - KM. 35.500,S/N,22942136,2030014
-56.134876606467266,-34.599260188713544,1103033,CEIP,N° 33  ROSA FERRARI DE RAMOS,3,CANELONES,ZONA RURAL (Seleccionar Paraje),PASO DE CUELLO,RUTA 107 - KM. 8.300,S/N,43902179,2030032
-56.108577648587662,-34.587301168122067,1103010,CEIP,N° 10,3,CANELONES,ZONA RURAL (Seleccionar Paraje),CUCHILLA  MACHIN,RUTA 33 - KM. 40.500,S/N,43902018,2030009
-56.180235466024946,-34.56558939003029,1103040,CEIP,N° 40  VICENTE PARIANI,3,CANELONES,ZONA RURAL (Seleccionar Paraje),CANELON CHICO,RUTA 107 - KM. 14.500,S/N,43328377,2030039
-56.144781602639839,-34.532686109989221,1103050,CEIP,N° 50  GABINA ECILDA VAZQUEZ,3,CANELONES,ZONA RURAL (Seleccionar Paraje),CASERIOS DE MURIALDO - CANELON CHICO,RUTA 32 - KM. 43.500,S/N,43132447,2030048
-56.048032820787462,-34.610716967725949,1103054,CEIP,N° 54  CORONEL ANDRES GUACARARI ANDRESITO,3,CANELONES,ZONA RURAL (Seleccionar Paraje),RANCHERIOS DE PONCE,RUTA 6 - KM 39,S/N,22942532,2030052
-55.970585362309983,-34.77014177677237,1103047,CEIP,N° 47  MARIA LUISA PEREIRA,3,CANELONES,ZONA RURAL (Seleccionar Paraje),RINCON DE CARRASCO,CAMINO HORNEROS,S/N,43902362,2030046
-56.030831089403854,-34.657191126163568,1103016,CEIP,N° 16  FRANCISCA A. PASCUAL DE ARTIGAS,3,CANELONES,ZONA RURAL (Seleccionar Paraje),CUCHILLA DE ROCHA,CAMINO CUCHILLA DE ROCHA. A 3 KM. DE R.6 KM.36.500,S/N,22940575,2030015
-56.016106575433092,-34.587756365352654,1103017,CEIP,N° 17,3,CANELONES,ZONA RURAL (Seleccionar Paraje),PANTANOSO,RUTA 85 - KM. 43,S/N,43902813,2030016
-56.056603757972326,-34.531142494234317,1103018,CEIP,N° 18,3,CANELONES,ZONA RURAL (Seleccionar Paraje),PUNTAS DE PANTANOSO,RUTA 6 - KM. 46,S/N,43103676,2030017
-56.101419788995109,-34.508423740165853,1103027,CEIP,N° 27  JOSE PERCOVICH,3,CANELONES,ZONA RURAL (Seleccionar Paraje),PASO DE LA PALOMA,RUTA 33 - KM. 49.500,S/N,43132184,2030026
-56.050610384444028,-34.469820995987597,1103085,CEIP,N° 85,3,CANELONES,ZONA RURAL (Seleccionar Paraje),SAN ANTONIO,CARRETERA STA.ROSA-S.ANTONIO,S/N,43103269,2030080
-55.975960745844205,-34.583490275492402,1103086,CEIP,N° 86,3,CANELONES,ZONA RURAL (Seleccionar Paraje),PANTANOSO,RUTA 82 - KM. 55,S/N,43902020,2030081
-55.919574060224981,-34.603871632839834,1103035,CEIP,N° 35,3,CANELONES,ZONA RURAL (Seleccionar Paraje),BARRA DE LA PEDRERA,RUTA 7 - KM. 45,S/N,43909144,2030034
-55.916243839848818,-34.653806374637767,1103023,CEIP,N° 23  FUND. BIANCHI ARDOINO-DANERO,3,CANELONES,ZONA RURAL (Seleccionar Paraje),COSTA DE PANDO,RUTA 82 - KM. 43.500,S/N,22955614,2030022
-55.874227891402519,-34.738126592557656,1103081,CEIP,N° 81,3,CANELONES,ZONA RURAL (Seleccionar Paraje),RINCON DE PANDO,RUTA 34 - KM. 44,S/N,22955969,2030077
-55.866880349180846,-34.660494046209685,1103209,CEIP,N° 209,3,CANELONES,ZONA RURAL (Seleccionar Paraje),CAÑADA GRANDE,KM. 48 VIA A MINAS,S/N,43902289,2030195
-55.848318422573577,-34.625999560899864,1103077,CEIP,N° 77,3,CANELONES,ZONA RURAL (Seleccionar Paraje),PTAS. DE CAÑADA GRANDE - PARADA GOMEZ,RUTA 11 KM. 142.500 (CAMINO VECINAL),S/N,26830676,2030074
-55.841012795323607,-34.588958283029385,1103043,CEIP,N° 43,3,CANELONES,ZONA RURAL (Seleccionar Paraje),EL TALITA,RUTA 11 KM.144.600,S/N,43909010,2030042
-55.828211440688037,-34.616242417194108,1103144,CEIP,N° 144,3,CANELONES,ESTACION PEDRERA,ESTACION PEDRERA,RUTA 11 - KM. 148.500,S/N,43909015,2030133
-55.913026256144583,-34.472369088211607,1103006,CEIP,N° 6  HIPOLITO CABRERA,3,CANELONES,ZONA RURAL (Seleccionar Paraje),COSTA DE PANDO,RUTA 81 - KM. 47.500,S/N,43103005,2030005
-55.829503376502082,-34.484537692687169,1103048,CEIP,N° 48,3,CANELONES,ZONA RURAL (Seleccionar Paraje),PIEDRA SOLA,RUTA 7 KM.61,S/N,43909114,2030047
-55.876105945386655,-34.426835084370452,1103019,CEIP,N° 19,3,CANELONES,ZONA RURAL (Seleccionar Paraje),EL CUADRO,RUTA 81 - KM. 50.500,S/N,43103001,2030018
-55.921818022291355,-34.403035696263615,1103056,CEIP,N° 56,3,CANELONES,ZONA RURAL (Seleccionar Paraje),COSTAS DEL TALA,RUTA 65 - KM. 81,S/N,43103383,2030054
-56.013334394037784,-34.425254775639424,1103074,CEIP,N° 74  FELIPE ANDRES CURBELO,3,CANELONES,ZONA RURAL (Seleccionar Paraje),SAN ANTONIO,RUTA 81 - KM. 37.500,S/N,43136101,2030071
-55.885882436408451,-34.364034312174837,1103071,CEIP,N° 71,3,CANELONES,ZONA RURAL (Seleccionar Paraje),COSTAS DEL TALA,RUTA 65 - KM. 83.100 CAMINO VECINAL,S/N,43102145,2030068
-56.084966352570675,-34.406510122986084,1103026,CEIP,N° 26  CANADA,3,CANELONES,ZONA RURAL (Seleccionar Paraje),BARRA DEL TALA,RUTA 64 Y 63 - KM. 24,S/N,43302133,2030025
-56.1497871376178,-34.47476903426098,1103064,CEIP,N° 64  JUAN CAFASSO,3,CANELONES,ZONA RURAL (Seleccionar Paraje),LA PALOMA,RUTA 11 - KM. 112,S/N,43302127,2030062
-56.150932648234402,-34.44179194381082,1103090,CEIP,N° 90  LUIS EDUARDO ALONSO,3,CANELONES,PASO DE LA CADENA,PASO DE LA CADENA,RUTA 81 - KM. 23.800,S/N,43302117,2030085
-56.199774769226131,-34.4827495794339,1103029,CEIP,N° 29  NILDA ELENA SOLARI DE SANTORO,3,CANELONES,ZONA RURAL (Seleccionar Paraje),CANELON GRANDE,RUTA 64 - KM. 5.500,S/N,43324251,2030028
-56.217232396420357,-34.426443840674949,1103028,CEIP,N° 28  DEMETRIO AÑON GERIBON,3,CANELONES,ZONA RURAL (Seleccionar Paraje),CANELON GRANDE,RUTA 81 - KM. 16.700,S/N,43302722,2030027
-56.244366398183978,-34.387317677939357,1103031,CEIP,N° 31  GUYUNUSA,3,CANELONES,ZONA RURAL (Seleccionar Paraje),PASO PACHE,RUTA 63 - KM. 16.800,S/N,43302434,2030030
-56.283764256578287,-34.428683288142274,1103030,CEIP,N° 30,3,CANELONES,PASO DE PACHE,PASO DE PACHE,EX-RUTA 5 - KM. 57.500,S/N,43302438,2030029
-56.348728725079177,-34.404891090788261,1103073,CEIP,N° 73  JOSE MALACRIDA,3,CANELONES,ZONA RURAL (Seleccionar Paraje),RINCON DE VIDAL,RUTA 63 - KM. 6.500,S/N,43302525,2030070
-56.345123595260752,-34.450772980829072,1103011,CEIP,N° 11,3,CANELONES,ZONA RURAL (Seleccionar Paraje),ESTACION MARGAT,RUTA 81 - KM. 4,S/N,43346700,2030010
-56.284041282722562,-34.485414639929061,1103034,CEIP,N° 34  DIONISIO DIAZ,3,CANELONES,ZONA RURAL (Seleccionar Paraje),CANELON GRANDE,RUTA 5 - KM. 50.200,S/N,43320421,2030033
-56.343501904181849,-34.550859925156033,1103036,CEIP,N° 36,3,CANELONES,ZONA RURAL (Seleccionar Paraje),CURVA DE BRUSCHI - CAÑADA DE MONTAÑO,RUTA 46 - KM. 51,S/N,43302422,2030035
-56.312708984853316,-34.534089468990757,1103062,CEIP,N° 62  BLANCA ROSA GUARNERIO,3,CANELONES,ZONA RURAL (Seleccionar Paraje),ETCHEVARRIA,RUTA 64 - KM. 48.500,S/N,43320411,2030060
-56.380568143715472,-34.554422601448877,1103063,CEIP,N° 63,3,CANELONES,ZONA RURAL (Seleccionar Paraje),PASO GARUA,"RUTA 36 KM. 47,500",S/N,43302478,2030061
-56.024593434447354,-34.515134940156628,1103147,CEIP,N° 147,3,CANELONES,ZONA RURAL (Seleccionar Paraje),PUNTAS DE PANTANOSO,RUTA 11 - KM. 125.500,S/N,43103183,2030136
-55.851330452517281,-34.395636971049193,1103020,CEIP,N° 20,3,CANELONES,ZONA RURAL (Seleccionar Paraje),EL ARENAL,RUTA 65 - KM- 87.500,S/N,43105007,2030019
-55.798620134946077,-34.389724038368804,1103078,CEIP,N° 78,3,CANELONES,ZONA RURAL (Seleccionar Paraje),COSTAS DE PEDERNAL,RUTA 7 - KM. 72,S/N,43105440,2030075
-55.824368290299468,-34.510571998163613,1103069,CEIP,N° 69  FRANKLIN CAPPI,3,CANELONES,ZONA RURAL (Seleccionar Paraje),PIEDRA SOLA,RUTA 7 - KM. 54,S/N,43909912,2030067
-55.995239277940421,-34.363813616671585,1103082,CEIP,N° 82  MARIA CLOTILDE NUÑEZ,3,CANELONES,ZONA RURAL (Seleccionar Paraje),COSTAS DEL COLORADO,RUTA 65 - KM. 72.200,S/N,43136381,2030078
-55.753026781925662,-34.567817762934027,1103052,CEIP,N° 52,3,CANELONES,ESTACION TAPIA,ESTACION TAPIA,RUTA 88 - KM. 7,S/N,43999565,2030050
-55.782989656628644,-34.538137571918035,1103207,CEIP,N° 207,3,CANELONES,ZONA RURAL (Seleccionar Paraje),PUNTAS DE PEDRERA,CAMINO VECINAL A TAPIA,S/N,98287544,2030193
-55.723026875306701,-34.569344834330934,1103182,CEIP,N° 182,3,CANELONES,ZONA RURAL (Seleccionar Paraje),COLONIA BERRO,CNO. COLONIA BERRO,S/N,43909894,2030168
-55.534554884619297,-34.568454075662146,1103080,CEIP,N° 80,3,CANELONES,ZONA RURAL (Seleccionar Paraje),SAUCE DE SOLIS,CAMINO VECINAL MONTES A SOLIS,S/N,43709098,2030076
-55.606761441962554,-34.587366122481825,1103041,CEIP,N° 41  ALFREDO ZITARROSA,3,CANELONES,ZONA RURAL (Seleccionar Paraje),PARAJE NAYA - CUCH. C. DE HORNOS,RUTA 80 KM 79.500,S/N,43172370,2030040
-55.685701167825954,-34.49893333996571,1103038,CEIP,N° 38,3,CANELONES,ZONA RURAL (Seleccionar Paraje),MIGUES,CAMINO AL COLORADO,S/N,43107043,0
-56.077731355879031,-34.333005920621027,1103024,CEIP,N° 24,3,CANELONES,ZONA RURAL (Seleccionar Paraje),RINCON DE CONDE,RUTA 63 - KM. 14.500,S/N,43102007,2030023
-56.050317039746041,-34.308910260432668,1103096,CEIP,N° 96  REZCALA NEFFA,3,CANELONES,ZONA RURAL (Seleccionar Paraje),RINCON DE CONDE,RUTA 63 - KM. 9,S/N,43102006,2030091
-55.995224726967741,-34.290655845399222,1103184,CEIP,N° 184  DORILA BORCHE DE FERNANDEZ,3,CANELONES,ZONA RURAL (Seleccionar Paraje),RINCON DE CONDE,RUTA 63 - KM. 2.500,S/N,43102115,2030170
-55.870435752366731,-34.31627225759452,1103057,CEIP,N° 57  MTRA. ELISA SAENZ RIVERO,3,CANELONES,ZONA RURAL (Seleccionar Paraje),VEJIGAS DE SAN RAMON,RUTA 12 - KM. 88.500,S/N,43105196,2030055
-55.787561581972398,-34.312934385060608,1103083,CEIP,N° 83,3,CANELONES,ZONA RURAL (Seleccionar Paraje),PASO RIVERO DE VEJIGAS,CAMINO PASO RIVERO,S/N,43105707,2030079
-55.76981061200236,-34.444124361668145,1103055,CEIP,N° 55,3,CANELONES,ZONA RURAL (Seleccionar Paraje),PUNTAS DEL ARENAL,RUTA 81 - KM. 60.500,S/N,43105006,2030053
-55.915349071176713,-34.308931063689393,1103053,CEIP,N° 53  CASILDO LARRAÑAGA,3,CANELONES,ZONA RURAL (Seleccionar Paraje),CAÑADA DE PRUDENCIO,RUTA 12 - KM. 93,S/N,43124770,2030051
-55.728712519033017,-34.4724726419579,1103142,CEIP,N° 142,3,CANELONES,ZONA RURAL (Seleccionar Paraje),SOLIS CHICO,RUTA 88 KM.20,S/N,43172320,2030131
-55.687828230153116,-34.433003275104156,1103133,CEIP,N° 133  CONFRATERNIDAD URUGUAYO-ARGENTINA,3,CANELONES,ZONA RURAL (Seleccionar Paraje),SOLIS CHICO,RUTA 80 - KM. 87.500,S/N,43172315,2030123
-55.703149955894233,-34.389448526415364,1103087,CEIP,N° 87,3,CANELONES,ZONA RURAL (Seleccionar Paraje),PEDERNAL,RUTA 80 - KM. 83.500,S/N,43105008,2030082
-55.621874779651165,-34.343634554800126,1103138,CEIP,N° 138  ISLAS CANARIAS,3,CANELONES,ZONA RURAL (Seleccionar Paraje),PUNTAS DE VEJIGAS,RUTA 12 - KM. 92,S/N,43105005,2030127
-55.63980775914888,-34.30564829575637,1103060,CEIP,N° 60,3,CANELONES,ZONA RURAL (Seleccionar Paraje),VEJIGAS,RUTA 40 - KM. 92.500,S/N,43105004,2030058
-55.684378179178822,-34.308404705327092,1103021,CEIP,N° 21,3,CANELONES,ZONA RURAL (Seleccionar Paraje),LAS PIEDRITAS,A 4KM. DE RUTA 12 KM. 84500,S/N,43105097,2030020
-55.60246330789554,-34.258489379491444,1103098,CEIP,N° 98,3,CANELONES,ZONA RURAL (Seleccionar Paraje),EL TIGRE,RUTA 40 - KM. 98,S/N,43105101,2030092
-55.67279854213222,-34.245833653315309,1103068,CEIP,N° 68,3,CANELONES,ZONA RURAL (Seleccionar Paraje),COSTA DE SANTA LUCIA,RUTA 7 - KM. 90,S/N,43101091,2030066
-55.735978499536166,-34.285546724151999,1103150,CEIP,N° 150,3,CANELONES,ZONA RURAL (Seleccionar Paraje),FELICIANO,RUTA 7 - KM. 86,S/N,43152804,2030139
-55.597941457057466,-34.665654484892116,1103126,CEIP,N° 126,3,CANELONES,PIEDRAS DE AFILAR,PIEDRAS DE AFILAR,RUTA 8 - KM. 65,S/N,43772040,2030117
-55.517231030796104,-34.743170086235523,1103091,CEIP,N° 91,3,CANELONES,ESTACION PIEDRAS DE AFILAR,ESTACION PIEDRAS DE AFILAR,RUTA 70 Y  RUTA 103 KM 83.500,S/N,43707073,2030086
-56.253256828539335,-34.523676537532111,1103001,CEIP,N° 1  TIMOTEO APARICIO,3,CANELONES,PASO PALOMEQUE,PASO PALOMEQUE,RUTA 11 VIEJA  KM 101.800,S/N,43324193,2030001
-56.390376974654139,-34.577762792559241,1103120,CEIP,N° 120,3,CANELONES,CAMPO MILITAR,CAMPO MILITAR,RUTA 36 - KM. 42,S/N,43362337,2030111
-56.263853444714293,-34.620867647038494,1103051,CEIP,N° 51  ANA FRANK,3,CANELONES,PARADA CABRERA,PARADA CABRERA,RUTA 5 KM 34.500 CNO. LLOVERAS,S/N,43359738,2030049
-56.226971679604269,-34.628650377060445,1103206,CEIP,N° 206  ANGEL DODERA,3,CANELONES,ZONA RURAL (Seleccionar Paraje),JUANICO,CNO. DODERA - RUTA 5 KM.34.500,S/N,43303090,2030192
-56.250217846063769,-34.594189514472028,1103009,CEIP,N° 9  MTRO. GREGORIO MIGUES VIEYTE,3,CANELONES,JUANICO,JUANICO,CMNO. AL GIGANTE FRENTE A ESTACION A.F.E,S/N,43359710,2030008
-56.390377321410583,-34.524159849346709,1103003,CEIP,N° 3  GRAN BRETAÑA,3,CANELONES,AGUAS CORRIENTES,AGUAS CORRIENTES,PAGANINI,S/N,43372005,2030002
-56.390629944053252,-34.52414569825936,1103250,CEIP,N° 250  MEXICO,3,CANELONES,AGUAS CORRIENTES,AGUAS CORRIENTES,AVDA. PAGANINI,S/N,43373180,2030225
-55.95694986198982,-34.798895808077773,1103258,CEIP,N° 258,3,CANELONES,CIUDAD DE LA COSTA,COLINAS DE SOLYMAR,CALLE 7 MANZANA 407 SOLAR 23,S/N,26962900,2030231
-55.494018674338548,-34.795378824083706,1103095,CEIP,N° 95,3,CANELONES,CUCHILLA ALTA,CUCHILLA ALTA,RIVERA Y PONS,S/N,43789801,2030090
-55.961132527048157,-34.633928620743383,1103137,CEIP,N° 137,3,CANELONES,CRUZ DE LOS CAMINOS,CRUZ DE LOS CAMINOS,RUTA 7 - KM. 40,S/N,22939026,2030126
-55.506484330428513,-34.707323975129256,1103039,CEIP,N° 39,3,CANELONES,ZONA RURAL (Seleccionar Paraje),CAPILLA CELLA,RUTA 70 - KM. 78,S/N,43772173,2030038
-55.728922926795207,-34.221880973598608,1103022,CEIP,N° 22  LIBERTADOR SIMON BOLIVAR,3,CANELONES,BOLIVAR,BOLIVAR,INDEPENDENCIA,S/N,43116422,2030021
-56.06365974528611,-34.714274032781731,1103100,CEIP,N° 100,3,CANELONES,ZONA RURAL (Seleccionar Paraje),EMPALME SAUCE,RUTA 6 - KM. 26.500,S/N,22969667,2030094
-55.9878303684524,-34.65683616797709,1103076,CEIP,N° 76,3,CANELONES,TOTORAL DEL SAUCE,TOTORAL DEL SAUCE,RUTA 7 - KM. 36.500,S/N,22939011,2030073
-55.535818953810534,-34.786384086155181,1103200,CEIP,N° 200,3,CANELONES,SANTA LUCIA DEL ESTE,SANTA LUCIA DEL ESTE,CALLE 29 Y 31,S/N,43782271,2030186
-55.584051918888584,-34.765211754275725,1103159,CEIP,N° 159,3,CANELONES,SAN LUIS,SAN LUIS,RUTA INTERBALNEARIA KM. 62.800,S/N,43782002,2030147
-55.952256483125858,-34.379906240987403,1103044,CEIP,N° 44  MA. ELENA MARINO DE IGLESIAS,3,CANELONES,CASTELLANOS,CASTELLANOS,RUTA 65 - KM. 78,S/N,43136413,2030043
-55.993064047640388,-34.79393616960062,1103058,CEIP,N° 58  J.J.DA SILVA XAVIER-TIRADENTES,3,CANELONES,VILLA AEROPARQUE,VILLA AEROPARQUE,PANAM Y CIRCUNVALACION,S/N,26830676,2030056
-55.997918764320254,-34.791092636978583,1103264,CEIP,N° 264,3,CANELONES,VILLA AEROPARQUE,VILLA AEROPARQUE,BRANIFF RUTA 101 KM 26,S/N,26838466,2030237
-56.08221672273023,-34.450675423359023,1103121,CEIP,N° 121  MAESTRO AGUSTIN FERREIRO,3,CANELONES,SAN ANTONIO,SAN ANTONIO,MARIA PEREIRA DE MAROTTE,S/N,43139703,2030112
-56.06153696653454,-34.411925075550847,1103025,CEIP,N° 25  EUSEBIO FRANCISCO PEREZ,3,CANELONES,ZONA RURAL (Seleccionar Paraje),COSTAS DEL COLORADO,RUTA 33 - KM. 64,S/N,43103004,2030024
-56.082726539850526,-34.41858490350117,1103174,CEIP,N° 174  NESTOR MONTELONGO Y FRANCISCA DUARTE,3,CANELONES,ZONA RURAL (Seleccionar Paraje),COSTAS DEL TALA,RUTA 81 - KM. 31,S/N,43139141,2030160
-55.834579972090822,-34.778930171405463,1103136,CEIP,N° 136,3,CANELONES,SALINAS,SALINAS,GUAZUBIRA Y J.P.VARELA,S/N,43767005,2030125
-55.851143558868593,-34.76626798365389,1103262,CEIP,N° 262,3,CANELONES,SALINAS,SALINAS,CALLES COLON Y ACHIRAS,S/N,43761158,2030235
-55.864193562358444,-34.780203451444507,1103219,CEIP,N° 219,3,CANELONES,NEPTUNIA,NEPTUNIA,ZAPICAN  ESQ. INTERBALNEARIA,S/N,43766425,2030205
-55.834449195958463,-34.779724949916194,1103270,CEIP,N° 270,3,CANELONES,SALINAS,SALINAS,BIBI Y GUAZUBIRA,S/N,43767332,2030242
-55.676589581799867,-34.75388676653327,1103190,CEIP,N° 190,3,CANELONES,LA FLORESTA,LA FLORESTA,SARANDI SOLiS ESQ. DIAGONAL 1,S/N,43738393,2030176
-55.657059104042403,-34.765512448351267,1103154,CEIP,N° 154,3,CANELONES,COSTA AZUL,COSTA AZUL,19 DE ABRIL E INDEPENDENCIA,S/N,43739389,2030142
