CARRERA,DURACIÓN,CRÉDITOS MÍNIMOS,PLAN DE ESTUDIOS VIGENTE,SERVICIO UNIVERSITARIO,SERVICIO UNIVERSITARIO DE REFERENCIA,ENLACE A INFORMACIÓN INSTITUCIONAL,Nivel,Titulación,Orden original
LICENCIATURA EN ENFERMERIA,4 AÑOS,360,2016,CENUR NORESTE_RIVERA,FACULTAD DE ENFERMERÍA,https://udelar.edu.uy/carrerasinterior/portada/centro-universitario-regional-noreste/cenur-noreste-rivera/,Grado,Licenciado/a,196
LICENCIATURA EN RECURSOS NATURALES,4 AÑOS,360,2010,CENUR NORESTE_RIVERA,FACULTAD DE CIENCIAS,https://udelar.edu.uy/carrerasinterior/portada/centro-universitario-regional-noreste/cenur-noreste-rivera/,Grado,Licenciado/a,197
TECNICATURA EN ARTES,3 AÑOS,240,2017,CENUR NORESTE_RIVERA,FACULTAD DE ARTES,https://udelar.edu.uy/carrerasinterior/portada/centro-universitario-regional-noreste/cenur-noreste-rivera/,Grado,Técnico/a,198
TECNOLOGO EN MADERA,3 AÑOS,270,2012,CENUR NORESTE_RIVERA,FACULTAD DE INGENIERÍA,https://udelar.edu.uy/carrerasinterior/portada/centro-universitario-regional-noreste/cenur-noreste-rivera/,Grado,Tecnólogo/a,199
INGENIERIA FORESTAL,5 AÑOS,450,2013,CENUR NORESTE_TACUAREMBÓ,FACULTAD DE INGENIERÍA,https://www.tacuarembo.udelar.edu.uy/carreras/,Grado,Ingeniero/a,200
LICENCIATURA EN ECONOMÍA AGRÍCOLA Y GESTIÓN DE AGRONEGOCIOS,4 AÑOS,360,2022,CENUR NORESTE_TACUAREMBÓ,FACULTAD DE CIENCIAS ECONÓMICAS Y DE ADMINISTRACIÓN,https://www.tacuarembo.udelar.edu.uy/carreras/,Grado,Licenciado/a,201
TECNICATURA EN DESARROLLO REGIONAL SUSTENTABLE,3 AÑOS,270,2013,CENUR NORESTE_TACUAREMBÓ,FACULTAD DE CIENCIAS SOCIALES,https://www.tacuarembo.udelar.edu.uy/carreras/,Grado,Técnico/a,202
TECNICATURA UNIVERSITARIA EN BIENES CULTURALES,2 AÑOS Y MEDIO,200,2021,CENUR NORESTE_TACUAREMBÓ,FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN,https://www.tacuarembo.udelar.edu.uy/carreras/,Grado,Técnico/a,203
TECNICO OPERADOR DE ALIMENTOS,2 AÑOS,160,2011,CENUR NORESTE_TACUAREMBÓ,ESCUELA DE NUTRICIÓN,https://www.tacuarembo.udelar.edu.uy/carreras/,Grado,Técnico/a,204
TECNOLOGO EN ADMINISTRACION Y CONTABILIDAD,2 AÑOS Y MEDIO,225,2012,CENUR NORESTE_TACUAREMBÓ,FACULTAD DE CIENCIAS ECONÓMICAS Y DE ADMINISTRACIÓN,https://www.tacuarembo.udelar.edu.uy/carreras/,Grado,Tecnólogo/a,205
CICLO INICIAL OP. AREA SOCIAL,1 AÑO,120,2017,CENUR NORESTE_CERRO LARGO,,https://udelar.edu.uy/carrerasinterior/portada/centro-universitario-regional-noreste/cenur-noreste-sede-cerro-largo/,Ciclo Inicial,,206
CICLO INICIAL OP. AREA SOCIAL,1 AÑO,120,2017,CENUR NORESTE_RIVERA,,https://udelar.edu.uy/carrerasinterior/portada/centro-universitario-regional-noreste/cenur-noreste-rivera/,Ciclo Inicial,,207
CICLO INICIAL OP. AREA SOCIAL,1 AÑO,120,2017,CENUR NORESTE_TACUAREMBÓ,,https://www.tacuarembo.udelar.edu.uy/carreras/,Ciclo Inicial,,208
LICENCIATURA EN BIOLOGÍA HUMANA,4 AÑOS,360,,CENUR NORESTE_RIVERA,,https://udelar.edu.uy/carrerasinterior/licenciatura-en-biologia-humana-3/,Grado,Licenciado/a,209
TÉCNICO EN GESTIÓN DE RECURSOS NATURALES Y DESARROLLO SUSTENTABLE,2 AÑOS Y MEDIO,195,,CENUR NORESTE_RIVERA,,https://www.fcien.edu.uy/ensenanza/carreras-de-grado/tecnicatura-gestion-recursos-naturales/2338-tecnicatura-en-gestion-de-recursos-naturales-y-desarrollo-sustentable,Grado,Técnico/a,210
