CARRERA,DURACIÓN,CRÉDITOS MÍNIMOS,PLAN DE ESTUDIOS VIGENTE,SERVICIO UNIVERSITARIO,SERVICIO UNIVERSITARIO DE REFERENCIA,ENLACE A INFORMACIÓN INSTITUCIONAL,Nivel,Titulación,Orden original
LICENCIATURA EN BIOLOGÍA HUMANA,4 AÑOS,360,,MONTEVIDEO_FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN,,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Licenciado/a,116
ABOGACIA,5 AÑOS,450,2016,CENUR LITORAL_SALTO,FACULTAD DE DERECHO,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Abogado/a,117
BIOQUIMICO CLINICO,4 AÑOS,450,2015,CENUR LITORAL_SALTO,FACULTAD DE QUÍMICA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Bioquímico/a Clínico/a,118
CICLO EN BIOLOGÍA - BIOQUÍMICA,2 AÑOS,90,2016,CENUR LITORAL_SALTO,FACULTAD DE CIENCIAS,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Ciclo Inicial,,119
CICLO INICIAL DE MATEMATICA,2 AÑOS,160,2012,CENUR LITORAL_SALTO,FACULTAD DE CIENCIAS E INGENIERÍA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Ciclo Inicial,,120
INGENIERIA DE ALIMENTOS,5 AÑOS,450,2003,CENUR LITORAL_SALTO,FACULTAD DE QUÍMICA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Ingeniero/a,121
INGENIERIA EN COMPUTACION,5 AÑOS,450,1997,CENUR LITORAL_PAYSANDÚ,FACULTAD DE INGENIERÍA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Ingeniero/a,122
INGENIERIA EN COMPUTACION,5 AÑOS,450,1997,CENUR LITORAL_SALTO,FACULTAD DE INGENIERÍA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Ingeniero/a,123
INGENIERIA QUIMICA,5 AÑOS,450,2000,CENUR LITORAL_SALTO,FACULTAD DE INGENIERÍA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Ingeniero/a,124
INGENIERO AGRONOMO,5 AÑOS,450,2020,CENUR LITORAL_SALTO,FACULTAD DE AGRONOMÍA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Ingeniero/a,125
LIC. EN EDUCACION FISICA,4 AÑOS,360,2017,CENUR LITORAL_PAYSANDÚ,INSTITUTO SUPERIOR DE EDUCACIÓN FÍSICA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Licenciado/a,126
LIC EN INGENIERIA BIOLOGICA,4 AÑOS Y MEDIO,360,2013,CENUR LITORAL_SALTO,FACULTAD DE INGENIERÍA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Licenciado/a,127
LIC. RECURSOS HÍDRICOS Y RIEGO,4 AÑOS,360,2016,CENUR LITORAL_SALTO,FACULTAD DE INGENIERÍA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Licenciado/a,128
LICENCIATURA EN DISEÑO INTEGRADO,4 AÑOS,360,2012,CENUR LITORAL_SALTO,FACULTAD DE ARQUITECTURA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Licenciado/a,129
LICENCIATURA EN ENFERMERIA,4 AÑOS,360,2016,CENUR LITORAL_SALTO,FACULTAD DE ENFERMERÍA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Licenciado/a,130
LICENCIATURA EN QUIMICA,4 AÑOS,320,2016,CENUR LITORAL_SALTO,FACULTAD DE QUÍMICA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Licenciado/a,131
LICENCIATURA EN TURISMO,4 AÑOS,360,2014,CENUR LITORAL_SALTO,FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Licenciado/a,132
MEDICO VETERINARIO,5 AÑOS,453,2021,CENUR LITORAL_SALTO,FACULTAD DE VETERINARIA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Doctor/a,133
NOTARIADO,5 AÑOS,450,2016,CENUR LITORAL_SALTO,FACULTAD DE DERECHO,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Escribano/a Público/a,134
QUIMICA FARMACEUTICA,5 AÑOS,450,2015,CENUR LITORAL_SALTO,FACULTAD DE QUÍMICA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Quimico/a Farmacéutico/a,135
QUIMICO,5 AÑOS,450,2015,CENUR LITORAL_SALTO,FACULTAD DE QUÍMICA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Quimico/a,136
QUÍMICO AGRÍCOLA Y MEDIO AMBIENTE,5 AÑOS,450,,CENUR LITORAL_SALTO,FACULTAD DE QUÍMICA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Quimico/a,137
QUÍMICO AGRÍCOLA Y MEDIO AMBIENTE,5 AÑOS,450,,CENUR LITORAL_PAYSANDÚ,FACULTAD DE QUÍMICA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Quimico/a,138
TECNICATURA BACHILLER EN CIENCIAS QUIMICAS,2 AÑOS Y MEDIO,225,2015,CENUR LITORAL_PAYSANDÚ,FACULTAD DE QUÍMICA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Técnico/a,139
TECNICATURA BACH. EN CS.QUIMICAS,2 AÑOS Y MEDIO,225,2015,CENUR LITORAL_SALTO,FACULTAD DE QUÍMICA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Técnico/a,140
TECNICATURA EN DEPORTES,2 AÑOS,160,2007,CENUR LITORAL_PAYSANDÚ,INSTITUTO SUPERIOR DE EDUCACIÓN FÍSICA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Técnico/a,141
TECNICATURA EN DIRECCION DE COROS,4 AÑOS,,2002,CENUR LITORAL_SALTO,FACULTAD DE ARTES,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Técnico/a,142
TECNICATURA EN INTERPRETACION,4 AÑOS,,2002,CENUR LITORAL_SALTO,FACULTAD DE ARTES,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Técnico/a,143
TECNICATURA EN TECNOLOGIAS DE LA IMAGEN FOTOGRAFICA,3 AÑOS,240,2008,CENUR LITORAL_PAYSANDÚ,FACULTAD DE ARTES,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Técnico/a,144
TECNICATURA UNIVERSITARIA EN BIENES CULTURALES,2 AÑOS Y MEDIO,200,2021,CENUR LITORAL_PAYSANDÚ,FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Técnico/a,145
TECNÓLOGO INTERPRETACIÓN Y TRADUCCIÓN LSU ESP,3 AÑOS,270,2014,CENUR LITORAL_SALTO,FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Tecnólogo/a,146
CICLO INICIAL OPTATIVO ÁREA SALUD - 1ER. AÑO DOCTOR EN MEDICINA,1 AÑO,,,CENUR LITORAL_PAYSANDÚ,,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Ciclo Inicial,,147
CICLO INICIAL OPTATIVO ÁREA SALUD - 1ER. AÑO LIC. EN PSICOLOGÍA PAYSANDÙ,1 AÑO,,,CENUR LITORAL_PAYSANDÚ,,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Ciclo Inicial,,148
CICLO INICIAL OPTATIVO ÁREA SALUD TRAYECTORIAS EN TECNOLOGÍA MEDICA-MEDICINA,1 AÑO,,,CENUR LITORAL_PAYSANDÚ,,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Ciclo Inicial,,149
CICLO INICIAL OPTATIVO AREA SOCIAL-T. CIENCIAS DE LA COMUNICACION,1 AÑO,,,CENUR LITORAL_SALTO,,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Ciclo Inicial,,150
CICLO INICIAL OPTATIVO AREA SOCIAL-T. CIENCIAS ECONOMICAS,1 AÑO,,,CENUR LITORAL_SALTO,,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Ciclo Inicial,,151
CICLO INICIAL OPTATIVO AREA SOCIAL-T. EN PSICOLOGIA,1 AÑO,,,CENUR LITORAL_SALTO,,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Ciclo Inicial,,152
CICLO INICIAL OPTATIVO AREA SOCIAL-T. EN TURISMO,1 AÑO,,,CENUR LITORAL_SALTO,,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Ciclo Inicial,,153
CICLO INICIAL OPTATIVO CIENTIFICO TECNOLOGICO,1 AÑO,,,CENUR LITORAL_SALTO,,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Ciclo Inicial,,154
CICLO INICIAL EN CIENCIAS SOCIALES,2 AÑOS,120,,CENUR LITORAL_SALTO,,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Ciclo Inicial,,155
LICENCIATURA NACIONAL DE OBSTETRICIA,4 AÑOS,,,CENUR LITORAL_PAYSANDÚ,,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Licenciado/a,156
LICENCIATURA EN INSTRUMENTACIÓN QUIRÚRGICA,4 AÑOS,,,CENUR LITORAL_PAYSANDÚ,FACULTAD DE MEDICINA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Licenciado/a,157
LICENCIATURA EN BIOLOGÍA HUMANA,4 AÑOS,,,CENUR LITORAL_SALTO - CENUR LITORAL_PAYSANDÚ,"Facultades de Medicina, Ciencias, Humanidades y Ciencias de la Educación y Odontología.",https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Licenciado/a,158
DOCTOR EN MEDICINA,7 AÑOS,,,CENUR LITORAL_SALTO - CENUR LITORAL_PAYSANDÚ,FACULTAD DE MEDICINA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Doctor/a,159
LICENCIATURA EN BIOTECNOLOGÍA,4 AÑOS,,,CENUR LITORAL_SALTO - CENUR LITORAL_PAYSANDÚ,"FACULTAD DE AGRONOMÍA, FACULTAD DE ARQUITECTURA, FACULTAD DE CIENCIAS, FACULTAD DE INGENIERÍA, FACULTAD DE VETERINARIA, FACULTAD DE QUÍMICA",https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Licenciado/a,160
TECNÓLOGO EN INFORMÁTICA,3 AÑOS,252,2007,CENUR LITORAL_PAYSANDÚ,FACULTAD DE INGENIERÍA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Tecnólogo/a,161
TECNÓLOGO EN SALUD OCUPACIONAL,3 AÑOS,,,CENUR LITORAL_PAYSANDÚ,FACULTAD DE MEDICINA,https://www.litoralnorte.udelar.edu.uy/ensenanza/oferta-academica-separador/oferta-academica-grado,Grado,Tecnólogo/a,162
CURSO DE GUARDAVIDAS ADECUACION 2007,1 AÑO,61,2001,CURE_ROCHA,INSTITUTO SUPERIOR DE EDUCACIÓN FÍSICA,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Ciclo Inicial,,163
LIC. EN EDUCACION FISICA,4 AÑOS,360,2017,CURE_MALDONADO,INSTITUTO SUPERIOR DE EDUCACIÓN FÍSICA,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Grado,Licenciado/a,164
LICENCIATURA EN DISEÑO DE PAISAJE,4 AÑOS,360,2008,CURE_MALDONADO,FACULTAD DE ARQUITECTURA,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Grado,Licenciado/a,165
LICENCIATURA EN ENFERMERIA,4 AÑOS,360,2016,CURE_ROCHA,FACULTAD DE ENFERMERÍA,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Grado,Licenciado/a,166
LICENCIATURA EN GESTION AMBIENTAL,4 AÑOS,360,2011,CURE_MALDONADO,FACULTAD DE CIENCIAS,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Grado,Licenciado/a,167
LICENCIATURA EN GESTION AMBIENTAL,4 AÑOS,360,2011,CURE_ROCHA,FACULTAD DE CIENCIAS,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Grado,Licenciado/a,168
LICENCIATURA EN GESTION AMBIENTAL,4 AÑOS,360,2011,CURE_TREINTA Y TRES,FACULTAD DE CIENCIAS,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Grado,Licenciado/a,169
LICENCIATURA EN LENGUAJES Y MEDIOS AUDIOVISUALES,4 AÑOS,360,2011,CURE_MALDONADO,FACULTAD DE ARTES,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Grado,Licenciado/a,170
LICENCIATURA EN TURISMO,4 AÑOS,360,2014,CURE_MALDONADO,FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Grado,Licenciado/a,171
TECNICATURA EN ARTES - ARTES PLASTICAS Y VISUALES,3 AÑOS,240,2013,CURE_ROCHA,FACULTAD DE ARTES,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Grado,Técnico/a,172
TECNICATURA EN DEPORTES,2 AÑOS,160,2007,CURE_ROCHA,INSTITUTO SUPERIOR DE EDUCACIÓN FÍSICA,https://www.cure.edu.uy/ensenanza/oferta-educativa/,Grado,Técnico/a,173
